Gene,Inheritance,Molecular_disease_mechanism,Protein_functional_class
KIF5C,AD,Unknown,Cytoskeletal Protein
GRIN2D,AD,GOF,Receptor
KCNA2,AD,Unknown,Transporter
VKORC1,AD,Unknown,Oxidoreductase
ATP2A1,AR,AR,Transporter
TRPC6,AD,Unknown,Transporter
ALPK1,AD,Unknown,Kinase
EIF2B3,AR,AR,Nucleic Acid Binding
ATP8A2,AR,AR,Transporter
POR,AR,AR,Oxidoreductase
LIMS2,AR,AR,Cell Junction Protein
KCNA1,AD,DN,Transporter
RPS17,AD,HI,Nucleic Acid Binding
RRAS2,AD,Unknown,Hydrolase
RRAS2,AD,Unknown,Signaling Molecule
KCNQ5,AD,GOF,Transporter
TUBGCP6,AR,AR,Cytoskeletal Protein
ATP5F1E,AR,AR,Transporter
ATP5F1E,AR,AR,Ligase
TLK2,AD,Unknown,Kinase
MIP,AD,DN,Protease
GATA2,AD,Unknown,Transcription Factor
GATA2,AD,Unknown,Nucleic Acid Binding
PPP2R5D,AD,DN,Phosphatase
KMT2A,AD,HI,Nucleic Acid Binding
CUX2,AD,Unknown,Transcription Factor
CUX2,AD,Unknown,Nucleic Acid Binding
PYCR2,AR,AR,Oxidoreductase
TJP2,AR,AR,Cell Junction Protein
ASAH1,AR,AR,Hydrolase
EPHB2,AR,AR,Receptor
SARS2,AR,AR,Ligase
SARS2,AR,AR,Translational Protein
DGAT1,AR,AR,Transferase
NPRL2,AD,Unknown,Enzyme Modulator
PPP1CB,AD,Unknown,Phosphatase
ACTA2,AD,Unknown,Cytoskeletal Protein
STRADA,AR,AR,Kinase
