mu,s,mean,var,varsample,meansample,ig_mu,ig_lambda,pAF0,pAF1,pAF2,pAF3,pAF4,pAF5,fit_ig_mu,fit_ig_lambda
3e-08,0.03,9.72843725015039e-07,8.11856585377584e-12,1.02716067404424e-11,9.64525e-07,9.72843725015039e-07,4.78647590976865e-08,0.83069,0.15086,0.01845,0,0,0,9.66644187792485e-07,5.91651517481089e-08
3e-08,0.1,2.69597831646486e-07,3.89486781710454e-13,1.06374407744077e-12,2.716e-07,2.69597831646486e-07,4.29355073840379e-08,0.91706,0.08249,0.00045,0,0,0,2.69739344236174e-07,5.91651517481089e-08
3e-08,0.3,7.07537514439307e-08,1.69222232731261e-14,1.98656924069241e-13,7.225e-08,7.07537514439307e-08,3.94775130159198e-08,0.97281,0.02719,0,0,0,0,6.99824673904267e-08,5.91651517481089e-08
3e-08,0.5,2.99589721938372e-08,1.72580618608731e-15,7.71677660526605e-14,2.9925e-08,2.99589721938372e-08,3.97062407507962e-08,0.98827,0.01173,0,0,0,0,2.99967792638097e-08,5.91651517481089e-08
3e-08,0.7,1.28600091871858e-08,1.31907682888301e-16,3.32616069910699e-14,1.3275e-08,1.28600091871858e-08,4.24996422939607e-08,0.99471,0.00529,0,0,0,0,1.28565512570597e-08,5.91651517481089e-08
3e-08,0.9,3.33205050955156e-09,1.15221639195708e-18,8.23951989519894e-15,3.25e-09,3.33205050955156e-09,6.02127177731304e-08,0.99871,0.00129,0,0,0,0,3.33329356736331e-09,5.91651517481089e-08
1e-07,1e-06,0.000935808698320086,0.000230068284757949,0.000230059563371974,0.0009358001,0.000935808698320086,5.53345050631896e-07,0.36701,0.34087,0.23227,0.04156,0.01057,0.00772,0.000922769703572169,6.19475222437225e-07
1e-07,3e-06,0.000888026771183197,0.000218507911316753,0.00021855938482693,0.00088818505,0.000888026771183197,5.57096138800422e-07,0.36752,0.3428,0.23019,0.04137,0.01046,0.00766,0.000906048160830219,6.19475222437225e-07
1e-07,1e-05,0.000952666809081903,0.000240985359320579,0.00024099239416868,0.000952711125,0.000952666809081903,5.46677968611267e-07,0.36684,0.34179,0.23041,0.04226,0.01087,0.00783,0.000852010105124161,6.19475222437225e-07
1e-07,3e-05,0.000923373842371756,0.000235342082444519,0.000235321061400985,0.00092328645,0.000923373842371756,5.5139033460258e-07,0.36668,0.34278,0.23142,0.04121,0.01027,0.00764,0.000727959391583072,6.19475222437225e-07
1e-07,1e-04,0.00063388102416374,0.00013800563691002,0.000138078114472425,0.0006340618,0.00063388102416374,5.50813494093451e-07,0.36897,0.34381,0.22999,0.04067,0.01018,0.00638,0.000482207970208769,6.19475222437225e-07
1e-07,3e-04,0.000339736103009511,4.88761940971545e-05,4.88537406198085e-05,0.000339691925,0.000339736103009511,5.5050181192626e-07,0.37112,0.34542,0.22866,0.0407,0.00933,0.00477,0.000245423208745319,6.19475222437225e-07
1e-07,0.001,0.000105583843027893,2.35467464548076e-06,2.35418551576568e-06,0.000105578275,0.000105583843027893,5.41210243939296e-07,0.37514,0.34739,0.22798,0.03845,0.00889,0.00215,9.02225464639899e-05,6.19475222437225e-07
1e-07,0.003,3.29110363989128e-05,8.03820802654192e-08,8.0300072664101e-08,3.2951275e-05,3.29110363989128e-05,5.36605934968191e-07,0.38524,0.3541,0.2228,0.03239,0.00535,0.00012,3.20883432525824e-05,6.19475222437225e-07
1e-07,0.01,9.87052724352942e-06,1.29777855580026e-09,1.32018055155552e-09,9.8495e-06,9.87052724352942e-06,4.89785918240962e-07,0.43035,0.37475,0.18215,0.0126,0.00015,0,9.79587406507551e-06,6.19475222437225e-07
1e-07,0.03,3.21471520581506e-06,2.66491432520485e-11,3.48177364173642e-11,3.2224e-06,3.21471520581506e-06,4.05384852506263e-07,0.53794,0.38647,0.07556,3e-05,0,0,3.22214729264162e-06,6.19475222437225e-07
1e-07,0.1,8.99702592825651e-07,1.29735309754404e-12,3.52860803608036e-12,8.98500000000001e-07,8.99702592825651e-07,2.92323764730073e-07,0.75155,0.24569,0.00276,0,0,0,8.99131147453912e-07,6.19475222437225e-07
1e-07,0.3,2.330238225132e-07,5.40775720032209e-14,6.39944096940969e-13,2.3305e-07,2.330238225132e-07,2.25009519848186e-07,0.91491,0.08507,2e-05,0,0,0,2.33274891301422e-07,6.19475222437225e-07
1e-07,0.5,9.97231495336446e-08,5.5916522631416e-15,2.49875936259363e-13,9.87500000000001e-08,9.97231495336446e-08,2.21570067503807e-07,0.96151,0.03849,0,0,0,0,9.9989264212699e-08,6.19475222437225e-07
1e-07,0.7,4.28023548833711e-08,4.34846377960733e-16,1.0785887796378e-13,4.2775e-08,4.28023548833711e-08,2.50249688437109e-07,0.98311,0.01689,0,0,0,0,4.28551708568657e-08,6.19475222437225e-07
1e-07,0.9,1.11049261973846e-08,3.78461342380272e-18,2.74412237872379e-14,1.1025e-08,1.11049261973846e-08,4.48894455080957e-07,0.99559,0.00441,0,0,0,0,1.11109785578777e-08,6.19475222437225e-07
3e-07,1e-06,0.00286578477421074,0.00071853494837779,0.000718524727811265,0.002865515825,0.00286578477421074,1.00302153220888e-05,0.04985,0.22956,0.52586,0.14064,0.03089,0.0232,0.00276830911071651,8.17180291965566e-06
3e-07,3e-06,0.00291041393250619,0.000766089900538017,0.000766164941836714,0.0029102446,0.00291041393250619,9.97885878851647e-06,0.04987,0.23217,0.52442,0.14024,0.03045,0.02285,0.00271814448249066,8.17180291965566e-06
3e-07,1e-05,0.00275626417536817,0.000682625175064796,0.000682481924784763,0.0027560772,0.00275626417536817,1.00064799260372e-05,0.04977,0.23027,0.52623,0.13956,0.03058,0.02359,0.00255603031537249,8.17180291965566e-06
3e-07,3e-05,0.00265790099640331,0.000643975701424574,0.000644064816916182,0.0026580649,0.00265790099640331,9.90176264807421e-06,0.04887,0.23392,0.5261,0.13828,0.03056,0.02227,0.00218387817474922,8.17180291965566e-06
3e-07,1e-04,0.00193924762686317,0.000404597985587943,0.000404699081716735,0.001939265225,0.00193924762686317,9.86565159519658e-06,0.04927,0.23467,0.5259,0.14013,0.03084,0.01919,0.00144662391062631,8.17180291965566e-06
3e-07,3e-04,0.0010265253370534,0.000137703744257143,0.000137737528037891,0.001026515075,0.0010265253370534,9.67675496518378e-06,0.05048,0.23748,0.53071,0.13677,0.03044,0.01412,0.000736269626235959,8.17180291965566e-06
3e-07,0.001,0.000309374199685098,7.05769868209778e-06,7.06694731864033e-06,0.000309529075,0.000309374199685098,9.63235908678334e-06,0.05404,0.24307,0.53961,0.12951,0.02733,0.00644,0.00027066763939197,8.17180291965566e-06
3e-07,0.003,0.0001036832509285,3.14374079405706e-07,3.14241418841888e-07,0.000103644775,0.0001036832509285,9.30259136142439e-06,0.05897,0.26464,0.5447,0.11421,0.01693,0.00055,9.62650297577472e-05,8.17180291965566e-06
3e-07,0.01,2.99306076011562e-05,3.59034939495662e-09,3.65576515997098e-09,2.9899575e-05,2.99306076011562e-05,8.65889513868621e-06,0.07915,0.33828,0.53324,0.04891,0.00042,0,2.93876221952266e-05,8.17180291965566e-06
3e-07,0.03,9.70133251391595e-06,7.94860804969934e-11,1.04816888403259e-10,9.726875e-06,9.70133251391595e-06,6.33378961856969e-06,0.155,0.52936,0.31556,8e-05,0,0,9.66644187792486e-06,8.17180291965566e-06
3e-07,0.1,2.70743280551891e-06,3.95814643615969e-12,1.07426652760278e-11,2.713025e-06,2.70743280551891e-06,3.17699420760934e-06,0.42355,0.55281,0.02364,0,0,0,2.69739344236174e-06,8.17180291965566e-06
3e-07,0.3,6.98902753018633e-07,1.63603564670017e-13,1.9132434299343e-12,6.9545e-07,6.98902753018633e-07,1.76227939884113e-06,0.76693,0.23296,0.00011,0,0,0,6.99824673904267e-07,8.17180291965566e-06
3e-07,0.5,3.00001419731207e-07,1.7097486063414e-14,7.73794832323323e-13,3.02325e-07,3.00001419731207e-07,1.57409535873166e-06,0.88737,0.11263,0,0,0,0,2.99967792638097e-07,8.17180291965566e-06
3e-07,0.7,1.28661484321788e-07,1.3024738531895e-15,3.33039890398904e-13,1.312e-07,1.28661484321788e-07,1.77846616453115e-06,0.94924,0.05076,0,0,0,0,1.28565512570597e-07,8.17180291965566e-06
3e-07,0.9,3.33391648253467e-08,1.14527528464454e-17,8.02716270912709e-14,3.2275e-08,3.33391648253467e-08,3.47967956138318e-06,0.98714,0.01286,0,0,0,0,3.3332935673633e-08,8.17180291965566e-06
